ID,name,population,latitude,longitude
579,Brzeźno Szlacheckie,505,54.0196400,17.2450600
580,Brzeźnica,130,53.8929600,16.8864200
581,Brzezie,482,53.8366512,16.9260006
582,Brzeście,208,54.2902551,16.7781721
583,Bruskowo Małe,113,54.4887204,16.8824856
584,Broczyna,58,54.1478300,16.9637500
585,Breńsk,84,53.7323700,17.0383800
586,Bożniewice,190,54.0000949,16.4242286
587,Bożenice,150,54.1988645,16.6328053
588,Bożanka,81,54.1424415,17.0324676
589,Borzysław,202,53.9272911,16.2004791
590,Borzęcino,384,54.4056675,17.2520028
591,Borzęcinko,36,54.4121807,17.2247269
592,Borzęcin,121,53.9810200,15.2775200
593,Boryszewo,184,54.3378600,16.3660200
594,Borkowo,160,54.2308800,16.5836100
595,Boleszewo,466,54.3717773,16.5807696
596,Bolesławice,260,54.4472900,16.9520300
597,Bobrowiczki,392,54.3368300,16.6512800
598,Bobrowice,290,54.3381200,16.6304300
599,Bobolin,119,54.3951856,16.3470141
600,Bobięcino,117,54.0204200,16.8370600
601,Błotnica,105,54.1053186,15.5174967
602,Biesowice,950,54.1959614,16.8774509
603,Biesiekierz,940,54.1338020,16.0391752
604,Bielsko,471,53.8677233,17.1195127
605,Bielkowo,269,54.3119182,16.3058165
606,Bielikowo,252,53.9905000,15.3146700
607,Bielica,140,53.7849423,16.9165853
608,Bieczyno,179,54.1047500,15.3550200
609,Bięcino,220,54.5219700,17.2181900
